Round,Date,HomeTeam,AwayTeam,Team,Player,Position,Substitute,MinutesPlayed,Rating,MarketValueEUR,SalaryEUR,SalarySource
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Raúl Rangel,G,No,90.0,7.3,6500000.0,2832000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Israel Reyes,D,No,90.0,7.2,6500000.0,2832000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,César Montes,D,No,90.0,6.8,7500000.0,3134000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Johan Vásquez,D,No,90.0,6.9,12000000.0,4369000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Jesús Gallardo,D,No,90.0,6.9,2800000.0,1561000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Erik Lira,M,No,76.0,7.4,12000000.0,4369000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Roberto Alvarado,M,No,90.0,8.2,7500000.0,3134000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Brian Gutiérrez,M,No,66.0,6.9,8000000.0,3280000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Álvaro Fidalgo,M,No,66.0,7.1,6000000.0,2676000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Julián Quiñones,M,No,79.0,8.6,14000000.0,4872000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Raúl Jiménez,F,No,76.0,7.6,3000000.0,1639000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Gilberto Mora,M,Yes,24.0,6.6,10000000.0,3840000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Luis Chávez,M,Yes,24.0,6.8,6000000.0,2676000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Edson Álvarez,M,Yes,14.0,7.0,15000000.0,5115000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Armando González,F,Yes,14.0,6.2,15000000.0,5115000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Alexis Vega,F,Yes,11.0,6.4,8000000.0,3280000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Carlos Acevedo,G,Yes,,,2800000.0,1561000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Guillermo Ochoa,G,Yes,,,250000.0,283000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Jorge Sánchez,D,Yes,,,2000000.0,1231000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Luis Romo,M,Yes,,,3000000.0,1639000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Mateo Chávez,D,Yes,,,4000000.0,2009000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,César Huerta,M,Yes,,,3500000.0,1828000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Obed Vargas,M,Yes,,,10000000.0,3840000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Orbelín Pineda,M,Yes,,,7000000.0,2984000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Guillermo Martínez,F,Yes,,,1500000.0,1004000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,Mexico,Santiago Giménez,F,Yes,,,18000000.0,5819000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,South Africa,Ronwen Williams,G,No,90.0,6.3,800000.0,644000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,South Africa,Khuliso Mudau,D,No,90.0,6.5,1200000.0,858000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,South Africa,Nkosinathi Sibisi,D,No,90.0,6.0,1600000.0,1051000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,South Africa,Ime Okon,D,No,90.0,6.3,2000000.0,1231000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,South Africa,Mbekezeli Mbokazi,D,No,90.0,6.4,3500000.0,1828000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,South Africa,Aubrey Modiba,D,No,77.0,5.9,1800000.0,1142000.0,Estimated
Group Stage - Matchday 1,2026-06-11,Mexico,South Africa,South Africa,Teboho Mokoena,M,No,90.0,6.5,2800000.0,1561000.0,Estimated
