Player,Team,Position,MatchesPlayed,AvgRating,TotalMinutes,MarketValueEUR,PredictedRating,ValueResidual,RatingPer10M
Vozinha,Cabo Verde,G,4,7.875,390.0,50000.0,6.44411012222724,1.43088987777276,1575.0
Ramin Rezaeian,Iran,D,3,7.566666666666666,270.0,250000.0,6.569750066461999,0.996916600204667,302.66666666666663
Aymeric Laporte,Spain,D,6,7.516666666666667,539.0,8000000.0,6.840300960159796,0.6763657065068704,9.395833333333332
Jan Paul van Hecke,Netherlands,D,4,7.65,390.0,45000000.0,6.97513557659492,0.6748644234050802,1.7000000000000002
Richie Laryea,Canada,D,5,7.3,431.0,1000000.0,6.677970423941119,0.622029576058881,73.0
Elijah Just,New Zealand,M,3,7.833333333333333,265.0,2500000.0,6.749500189436319,1.0838331438970146,31.33333333333333
Jude Bellingham,England,M,6,8.033333333333333,524.0,130000000.0,7.057952001479017,0.975381331854316,0.617948717948718
Vinícius Júnior,Brazil,M,5,8.0,441.0,140000000.0,7.063737202272916,0.9362627977270837,0.5714285714285714
Lionel Messi,Argentina,F,6,9.033333333333331,530.0,15000000.0,6.889372972385399,2.1439603609479345,6.022222222222222
Kylian Mbappé,France,F,6,8.5,531.0,180000000.0,7.083355934074039,1.4166440659259614,0.4722222222222222
Erling Haaland,Norway,F,5,7.959999999999999,465.0,200000000.0,7.091580848629317,0.8684191513706825,0.3979999999999999
