Player,Team,Position,MatchesPlayed,AvgRating,TotalMinutes,MarketValueEUR,SalaryEUR,SalarySource,PredictedRating,ValueResidual,RatingPerMillion
Lionel Messi,Argentina,F,6,9.033333333333333,530.0,15000000.0,23000000.0,Reported,7.068541067890193,1.9647922654431405,0.3927536231884058
Kylian Mbappé,France,F,6,8.5,531.0,180000000.0,31250000.0,Reported,7.104405709166144,1.3955942908338557,0.272
Vozinha,Cabo Verde,G,4,7.875,390.0,50000.0,242000.0,Estimated,6.5356687982524395,1.3393312017475605,32.54132231404959
Elijah Just,New Zealand,M,3,7.833333333333333,265.0,2500000.0,1441000.0,Estimated,6.744421888324352,1.0889114450089812,5.436039787184825
Orlando Gill,Paraguay,G,5,7.88,480.0,6000000.0,2676000.0,Estimated,6.81684564811979,1.0631543518802102,2.944693572496263
Ramin Rezaeian,Iran,D,3,7.566666666666666,270.0,250000.0,283000.0,Estimated,6.553980982763244,1.0126856839034222,26.73733804475854
Alireza Beiranvand,Iran,G,3,7.633333333333334,270.0,650000.0,556000.0,Estimated,6.6329962244983305,1.0003371088350033,13.729016786570742
Jude Bellingham,England,M,6,8.033333333333333,524.0,130000000.0,20830000.0,Reported,7.05694598533168,0.9763873480016532,0.3856617058729397
Vinícius Júnior,Brazil,M,5,8.0,441.0,140000000.0,25000000.0,Reported,7.078297041889652,0.9217029581103482,0.32
Stephen Eustaquio,Canada,M,5,7.7,391.0,6000000.0,2676000.0,Estimated,6.81684564811979,0.8831543518802105,2.8774289985052315
Ousmane Dembélé,France,M,6,7.916666666666667,462.0,100000000.0,19560000.0,Estimated,7.049585551457625,0.8670811152090421,0.40473755964553515
Erling Haaland,Norway,F,5,7.959999999999999,465.0,200000000.0,31900000.0,Reported,7.106814425725772,0.8531855742742271,0.2495297805642633
Julián Quiñones,Mexico,M,5,7.720000000000001,414.0,14000000.0,4872000.0,Estimated,6.886952211402135,0.8330477885978658,1.5845648604269296
Amad Diallo,Côte d'Ivoire,F,4,7.775,184.0,45000000.0,11122000.0,Estimated,6.983529646146559,0.7914703538534411,0.6990649163819457
Patrick Beach,Australia,G,4,7.45,389.0,1000000.0,754000.0,Estimated,6.668638431227137,0.781361568772863,9.880636604774535
Lewis Ferguson,Scotland,M,3,7.666666666666667,270.0,14000000.0,4872000.0,Estimated,6.886952211402135,0.7797144552645321,1.5736179529282979
Mohammed Al-Owais,Saudi Arabia,G,3,7.333333333333333,270.0,275000.0,303000.0,Estimated,6.561970700761591,0.7713626325717424,24.202420242024203
Angus Gunn,Scotland,G,3,7.433333333333334,270.0,1000000.0,754000.0,Estimated,6.668638431227137,0.7646949021061964,9.858532272325377
Nathan-Dylan Saliba,Canada,M,3,7.6000000000000005,182.0,7500000.0,3134000.0,Estimated,6.835330744535364,0.7646692554646366,2.4250159540523297
Mostafa Shobeir,Egypt,G,5,7.44,480.0,1200000.0,858000.0,Estimated,6.683756708612087,0.7562432913879134,8.671328671328672
Arda Güler,Türkiye,M,3,7.599999999999999,270.0,90000000.0,5210000.0,Reported,6.894800286517513,0.7051997134824859,1.45873320537428
Juan Fernando Quintero,Colombia,M,4,7.4,117.0,1800000.0,1142000.0,Estimated,6.7172119037017755,0.6827880962982249,6.479859894921192
Aymeric Laporte,Spain,D,6,7.516666666666667,539.0,8000000.0,3280000.0,Estimated,6.840658316003939,0.6760083506627277,2.291666666666667
Jan Paul van Hecke,Netherlands,D,4,7.65,390.0,45000000.0,11122000.0,Estimated,6.983529646146559,0.6664703538534411,0.6878259305880238
Eloy Room,Curaçao,G,3,7.2,270.0,150000.0,242000.0,Estimated,6.5356687982524395,0.6643312017475607,29.75206611570248
Benjamin Asare,Ghana,G,3,7.2,225.0,100000.0,242000.0,Estimated,6.5356687982524395,0.6643312017475607,29.75206611570248
Leandro Trossard,Belgium,M,6,7.566666666666666,540.0,18000000.0,5819000.0,Estimated,6.9077349010858216,0.6589317655808449,1.3003379733058371
Rodri,Spain,M,6,7.6499999999999995,537.0,50000000.0,11982000.0,Estimated,6.992244143327939,0.6577558566720603,0.6384576865297947
Hwang In-beom,South Korea,M,3,7.466666666666666,264.0,7000000.0,2984000.0,Estimated,6.829592233919241,0.6370744327474247,2.502234137622877
Richie Laryea,Canada,D,5,7.3,431.0,1000000.0,754000.0,Estimated,6.668638431227137,0.6313615687728626,9.681697612732096
Diney Borges,Cabo Verde,D,4,7.275,390.0,900000.0,700000.0,Estimated,6.659943633049531,0.6150563669504692,10.392857142857144
Pedro Vite,Ecuador,M,4,7.425000000000001,360.0,6000000.0,2676000.0,Estimated,6.81684564811979,0.608154351880211,2.774663677130045
Johan Manzambi,Switzerland,M,4,7.6,200.0,50000000.0,11982000.0,Estimated,6.992244143327939,0.6077558566720604,0.6342847604740444
Alessandro Circati,Australia,D,4,7.475,390.0,12000000.0,4369000.0,Estimated,6.874202251167567,0.6007977488324325,1.7109178301670862
Idrissa Gana Gueye,Senegal,M,4,7.2,364.0,500000.0,462000.0,Estimated,6.611326702778651,0.5886732972213489,15.584415584415584
Joshua Kimmich,Germany,D,4,7.55,353.0,35000000.0,9312000.0,Estimated,6.96274726739966,0.5872527326003398,0.8107817869415808
Gregor Kobel,Switzerland,G,6,7.55,600.0,40000000.0,10234000.0,Estimated,6.973793795714149,0.5762062042858505,0.7377369552472152
Ismaïla Sarr,Senegal,M,4,7.549999999999999,366.0,40000000.0,10234000.0,Estimated,6.973793795714149,0.5762062042858496,0.737736955247215
Granit Xhaka,Switzerland,M,6,7.416666666666667,600.0,8000000.0,3280000.0,Estimated,6.840658316003939,0.576008350662728,2.261178861788618
Florian Wirtz,Germany,M,4,7.625,363.0,100000000.0,19560000.0,Estimated,7.049585551457625,0.5754144485423751,0.38982617586912066
Virgil van Dijk,Netherlands,D,4,7.45,390.0,15000000.0,5115000.0,Estimated,6.89264712722885,0.5573528727711503,1.4565004887585533
Hernán Galíndez,Ecuador,G,4,7.125,360.0,300000.0,322000.0,Estimated,6.569086730951119,0.5559132690488813,22.127329192546583
Cody Gakpo,Netherlands,F,4,7.55,371.0,60000000.0,13631000.0,Estimated,7.007330754242836,0.542669245757164,0.553884527914313
Bruno Fernandes,Portugal,M,5,7.5,423.0,35000000.0,9312000.0,Estimated,6.96274726739966,0.53725273260034,0.8054123711340206
Shoja Khalilzadeh,Iran,D,3,7.066666666666666,270.0,100000.0,242000.0,Estimated,6.5356687982524395,0.5309978684142269,29.201101928374655
Alexander Freeman,USA,D,5,7.3,373.0,3500000.0,1828000.0,Estimated,6.772255380942992,0.5277446190570076,3.99343544857768
Harry Kane,England,F,6,7.533333333333334,548.0,60000000.0,13631000.0,Estimated,7.007330754242836,0.5260025790904983,0.5526618247621843
Crysencio Summerville,Netherlands,F,4,7.475,253.0,35000000.0,9312000.0,Estimated,6.96274726739966,0.5122527326003397,0.8027276632302406
Lisandro Martínez,Argentina,D,5,7.4799999999999995,510.0,40000000.0,10234000.0,Estimated,6.973793795714149,0.5062062042858502,0.7308970099667773
Roberto Alvarado,Mexico,M,5,7.340000000000001,430.0,7500000.0,3134000.0,Estimated,6.835330744535364,0.5046692554646368,2.342054881940013
Casemiro,Brazil,M,5,7.32,379.0,6000000.0,2676000.0,Estimated,6.81684564811979,0.5031543518802106,2.7354260089686098
Deniz Undav,Germany,F,4,7.425,149.0,22000000.0,6706000.0,Estimated,6.924334739374407,0.5006652606255928,1.107217417238294
Ronwen Williams,South Africa,G,4,7.15,360.0,800000.0,644000.0,Estimated,6.650187659050073,0.4998123409499273,11.10248447204969
Johan Mojica,Colombia,D,4,7.2,390.0,1500000.0,1004000.0,Estimated,6.702143077025333,0.497856922974667,7.171314741035856
Ivan Bašić,Bosnia & Herzegovina,M,3,7.2,179.0,1500000.0,1004000.0,Estimated,6.702143077025333,0.497856922974667,7.171314741035856
Youri Tielemans,Belgium,M,5,7.44,475.0,30000000.0,8350000.0,Estimated,6.949988886196416,0.4900111138035843,0.8910179640718564
Diogo Costa,Portugal,G,5,7.459999999999999,450.0,40000000.0,10234000.0,Estimated,6.973793795714149,0.4862062042858497,0.7289427398866523
Yan Diomande,Côte d'Ivoire,M,4,7.525,331.0,90000000.0,18156000.0,Estimated,7.040870447597404,0.4841295524025959,0.4144635382242785
Ibrahim Sangaré,Côte d'Ivoire,M,4,7.4,268.0,20000000.0,6269000.0,Estimated,6.9164503380099305,0.4835496619900699,1.1804115488913702
Álvaro Fidalgo,Mexico,M,3,7.3,95.0,6000000.0,2676000.0,Estimated,6.81684564811979,0.48315435188021016,2.7279521674140508
Gi-Hyuk Lee,South Korea,D,3,7.133333333333333,270.0,800000.0,644000.0,Estimated,6.650187659050073,0.48314567428325983,11.076604554865423
Aurélien Tchouaméni,France,M,3,7.5,270.0,70000000.0,15200000.0,Estimated,7.020078191501712,0.4799218084982879,0.493421052631579
Rubén Vargas,Switzerland,F,6,7.3500000000000005,350.0,12000000.0,4369000.0,Estimated,6.874202251167567,0.4757977488324334,1.6823071641107807
Rami Rabia,Egypt,D,5,7.1,368.0,600000.0,525000.0,Estimated,6.626283706662148,0.47371629333785137,13.523809523809522
Riyad Mahrez,Algeria,F,4,7.275,263.0,5000000.0,2353000.0,Estimated,6.801795197777828,0.4732048022221722,3.0917977050573735
Takehiro Tomiyasu,Japan,D,3,7.266666666666667,184.0,5000000.0,2353000.0,Estimated,6.801795197777828,0.46487146888883846,3.0882561269301596
Pedro Porro,Spain,D,4,7.425,360.0,35000000.0,9312000.0,Estimated,6.96274726739966,0.46225273260033983,0.7973582474226805
Kevin De Bruyne,Belgium,M,5,7.3,391.0,8000000.0,3280000.0,Estimated,6.840658316003939,0.4593416839960609,2.225609756097561
Pau Cubarsí,Spain,D,6,7.483333333333333,540.0,80000000.0,16705000.0,Estimated,7.031124840162053,0.4522084931712804,0.4479696697595531
Moisés Caicedo,Ecuador,M,4,7.5,360.0,100000000.0,19560000.0,Estimated,7.049585551457625,0.4504144485423751,0.3834355828220859
Maximiliano Araújo,Uruguay,M,3,7.366666666666667,252.0,20000000.0,6269000.0,Estimated,6.9164503380099305,0.45021632865673666,1.17509437975222
Nuno Mendes,Portugal,D,5,7.4799999999999995,397.0,80000000.0,16705000.0,Estimated,7.031124840162053,0.44887515983794657,0.44777012870398086
Raúl Jiménez,Mexico,F,4,7.2,320.0,3000000.0,1639000.0,Estimated,6.7594860222993685,0.4405139777006317,4.392922513727883
Michael Olise,France,M,6,7.516666666666667,476.0,150000000.0,26054000.0,Estimated,7.083128774663649,0.4335378920030175,0.2885033648064277
Jaminton Campaz,Colombia,M,3,7.233333333333333,80.0,5500000.0,2517000.0,Estimated,6.809678523953128,0.4236548093802055,2.8737915507879754
Dayot Upamecano,France,D,6,7.416666666666667,526.0,70000000.0,15200000.0,Estimated,7.020078191501712,0.3965884751649549,0.4879385964912281
Raúl Rangel,Mexico,G,5,7.2,438.0,6500000.0,2832000.0,Estimated,6.82347509340523,0.3765249065947698,2.5423728813559325
Marquinhos,Brazil,D,5,7.32,450.0,28000000.0,7953000.0,Estimated,6.944289354110225,0.3757106458897752,0.9204073934364391
Jhon Arias,Colombia,M,5,7.26,381.0,15000000.0,5115000.0,Estimated,6.89264712722885,0.3673528727711499,1.4193548387096773
Iliman Ndiaye,Senegal,F,3,7.366666666666666,123.0,55000000.0,12818000.0,Estimated,7.000135461222528,0.3665312054441383,0.5747126436781609
Akram Afif,Qatar,F,3,7.2,239.0,8000000.0,3280000.0,Estimated,6.840658316003939,0.35934168399606126,2.1951219512195124
James Rodríguez,Colombia,F,5,7.06,317.0,1500000.0,1004000.0,Estimated,6.702143077025333,0.3578569229746664,7.031872509960159
Aubrey Modiba,South Africa,D,4,7.075,347.0,1800000.0,1142000.0,Estimated,6.7172119037017755,0.3577880962982247,6.195271453590193
Thapelo Maseko,South Africa,F,3,7.0,245.0,750000.0,615000.0,Estimated,6.644796533418647,0.3552034665813526,11.382113821138212
Pape Gueye,Senegal,M,4,7.325,236.0,40000000.0,10234000.0,Estimated,6.973793795714149,0.3512062042858508,0.7157514168458081
Kai Havertz,Germany,F,4,7.35,355.0,55000000.0,12818000.0,Estimated,7.000135461222528,0.3498645387774717,0.5734123888282103
Ørjan Nyland,Norway,G,5,7.0,480.0,800000.0,644000.0,Estimated,6.650187659050073,0.34981234094992697,10.869565217391305
Yahia Fofana,Côte d'Ivoire,G,4,7.15,360.0,5000000.0,2353000.0,Estimated,6.801795197777828,0.3482048022221722,3.0386740331491713
Anthony Elanga,Sweden,F,3,7.3,215.0,32000000.0,8740000.0,Estimated,6.955329956679793,0.3446700433202068,0.8352402745995423
Abdülkerim Bardakcı,Türkiye,D,3,7.166666666666667,266.0,6500000.0,2832000.0,Estimated,6.82347509340523,0.34319157326143657,2.53060263653484
Keito Nakamura,Japan,M,4,7.199999999999999,310.0,10000000.0,3840000.0,Estimated,6.859101518297341,0.34089848170265835,1.8749999999999998
Matías Galarza,Paraguay,M,4,7.1,388.0,3000000.0,1639000.0,Estimated,6.7594860222993685,0.3405139777006312,4.331909701037217
Marwan Attia,Egypt,M,5,7.12,434.0,4000000.0,2009000.0,Estimated,6.783302259497798,0.3366977405022018,3.544051767048283
Matheus Cunha,Brazil,F,5,7.359999999999999,293.0,75000000.0,15960000.0,Estimated,7.025786831321967,0.3342131686780325,0.4611528822055137
Gabriel Magalhães,Brazil,D,5,7.359999999999999,450.0,75000000.0,15960000.0,Estimated,7.025786831321967,0.3342131686780325,0.4611528822055137
Mikel Oyarzabal,Spain,F,6,7.266666666666667,480.0,25000000.0,7340000.0,Estimated,6.934904427064172,0.3317622396024946,0.9900090826521344
Jerome Opoku,Ghana,D,3,7.133333333333333,270.0,5000000.0,2353000.0,Estimated,6.801795197777828,0.3315381355555047,3.031590876894744
Jackson Irvine,Australia,M,4,7.0,229.0,1000000.0,754000.0,Estimated,6.668638431227137,0.3313615687728628,9.283819628647215
Malik Tillman,USA,M,5,7.279999999999999,365.0,30000000.0,8350000.0,Estimated,6.949988886196416,0.3300111138035833,0.8718562874251496
Alisson,Brazil,G,5,7.220000000000001,450.0,15000000.0,5115000.0,Estimated,6.89264712722885,0.32735287277115077,1.4115347018572826
Nathaniel Brown,Germany,D,3,7.3,283.0,40000000.0,10234000.0,Estimated,6.973793795714149,0.32620620428585045,0.7133085792456517
Kang-in Lee,South Korea,F,3,7.266666666666666,270.0,28000000.0,7953000.0,Estimated,6.944289354110225,0.32237731255644064,0.9137013286390878
Leandro Paredes,Argentina,M,5,7.12,314.0,5000000.0,2353000.0,Estimated,6.801795197777828,0.31820480222217196,3.0259243518912027
David Alaba,Austria,D,4,7.075,278.0,3000000.0,1639000.0,Estimated,6.7594860222993685,0.3155139777006317,4.316656497864551
Tim Ream,USA,D,4,6.85,360.0,150000.0,242000.0,Estimated,6.5356687982524395,0.31433120174756013,28.305785123966942
Teboho Mokoena,South Africa,M,3,7.066666666666666,270.0,2800000.0,1561000.0,Estimated,6.753780951793395,0.3128857148732713,4.527012598761478
Deroy Duarte,Cabo Verde,M,4,7.025,264.0,1800000.0,1142000.0,Estimated,6.7172119037017755,0.3077880962982249,6.1514886164623475
Davinson Sánchez,Colombia,D,5,7.2,480.0,16000000.0,5354000.0,Estimated,6.8979902914842555,0.3020097085157447,1.3447889428464699
Bart Verbruggen,Netherlands,G,4,7.275,390.0,40000000.0,10234000.0,Estimated,6.973793795714149,0.301206204285851,0.7108657416454954
Yasser Ibrahim,Egypt,D,5,6.859999999999999,466.0,275000.0,303000.0,Estimated,6.561970700761591,0.2980292992384088,22.64026402640264
Livano Comenencia,Curaçao,M,3,6.8999999999999995,235.0,500000.0,462000.0,Estimated,6.611326702778651,0.28867329722134816,14.935064935064933
Zion Suzuki,Japan,G,4,7.2,360.0,20000000.0,6269000.0,Estimated,6.9164503380099305,0.2835496619900697,1.1485085340564682
Mohamed Kanno,Saudi Arabia,M,3,6.933333333333334,225.0,800000.0,644000.0,Estimated,6.650187659050073,0.28314567428326054,10.766045548654244
Pedri,Spain,M,5,7.359999999999999,394.0,150000000.0,26054000.0,Estimated,7.083128774663649,0.27687122533635034,0.28249021263529595
Cristian Romero,Argentina,D,5,7.26,466.0,45000000.0,11122000.0,Estimated,6.983529646146559,0.27647035385344054,0.6527602949109872
Brian Brobbey,Netherlands,F,4,7.2250000000000005,232.0,30000000.0,8350000.0,Estimated,6.949988886196416,0.27501111380358445,0.8652694610778444
